fold,held_out_group,batch_size,sequence_length,new_tokens,budget_mib,policy,prediction_extrapolates_from_fold_range,oracle_gpu_layers,oracle_generation_ms,selected_gpu_layers,actual_selected_peak_mib,actual_selected_generation_ms,regret_pct,budget_excess_mib,matches_oracle,status
2,1/512/32,1,512,32,640,max_gpu,False,12,303.0373255,12,584.35595703125,303.0373255,0.0,0.0,True,feasible
2,1/512/32,1,512,32,640,compute,False,12,303.0373255,12,584.35595703125,303.0373255,0.0,0.0,True,feasible
2,1/512/32,1,512,32,640,compute_transfer,False,12,303.0373255,12,584.35595703125,303.0373255,0.0,0.0,True,feasible
2,1/512/32,1,512,32,768,max_gpu,False,12,303.0373255,12,584.35595703125,303.0373255,0.0,0.0,True,feasible
2,1/512/32,1,512,32,768,compute,False,12,303.0373255,12,584.35595703125,303.0373255,0.0,0.0,True,feasible
2,1/512/32,1,512,32,768,compute_transfer,False,12,303.0373255,12,584.35595703125,303.0373255,0.0,0.0,True,feasible
2,1/512/32,1,512,32,1024,max_gpu,False,12,303.0373255,12,584.35595703125,303.0373255,0.0,0.0,True,feasible
2,1/512/32,1,512,32,1024,compute,False,12,303.0373255,12,584.35595703125,303.0373255,0.0,0.0,True,feasible
2,1/512/32,1,512,32,1024,compute_transfer,False,12,303.0373255,12,584.35595703125,303.0373255,0.0,0.0,True,feasible
3,2/128/32,2,128,32,256,max_gpu,False,0,2477.5892885000003,0,0.0,2477.5892885000003,0.0,0.0,True,feasible
3,2/128/32,2,128,32,256,compute,False,0,2477.5892885000003,0,0.0,2477.5892885000003,0.0,0.0,True,feasible
3,2/128/32,2,128,32,256,compute_transfer,False,0,2477.5892885000003,0,0.0,2477.5892885000003,0.0,0.0,True,feasible
3,2/128/32,2,128,32,320,max_gpu,False,3,1532.3844515,3,263.6220703125,1532.3844515,0.0,0.0,True,feasible
3,2/128/32,2,128,32,320,compute,False,3,1532.3844515,3,263.6220703125,1532.3844515,0.0,0.0,True,feasible
3,2/128/32,2,128,32,320,compute_transfer,False,3,1532.3844515,3,263.6220703125,1532.3844515,0.0,0.0,True,feasible
3,2/128/32,2,128,32,384,max_gpu,False,6,1121.069234,3,263.6220703125,1532.3844515,36.689546463818125,0.0,False,feasible
3,2/128/32,2,128,32,384,compute,False,6,1121.069234,3,263.6220703125,1532.3844515,36.689546463818125,0.0,False,feasible
3,2/128/32,2,128,32,384,compute_transfer,False,6,1121.069234,3,263.6220703125,1532.3844515,36.689546463818125,0.0,False,feasible
3,2/128/32,2,128,32,448,max_gpu,False,9,769.383394,6,352.236328125,1121.069234,45.71008976052844,0.0,False,feasible
3,2/128/32,2,128,32,448,compute,False,9,769.383394,6,352.236328125,1121.069234,45.71008976052844,0.0,False,feasible
3,2/128/32,2,128,32,448,compute_transfer,False,9,769.383394,6,352.236328125,1121.069234,45.71008976052844,0.0,False,feasible
3,2/128/32,2,128,32,512,max_gpu,False,9,769.383394,9,447.30615234375,769.383394,0.0,0.0,True,feasible
3,2/128/32,2,128,32,512,compute,False,9,769.383394,9,447.30615234375,769.383394,0.0,0.0,True,feasible
3,2/128/32,2,128,32,512,compute_transfer,False,9,769.383394,9,447.30615234375,769.383394,0.0,0.0,True,feasible
3,2/128/32,2,128,32,640,max_gpu,False,12,302.34771850000004,12,544.06494140625,302.34771850000004,0.0,0.0,True,feasible
3,2/128/32,2,128,32,640,compute,False,12,302.34771850000004,12,544.06494140625,302.34771850000004,0.0,0.0,True,feasible
3,2/128/32,2,128,32,640,compute_transfer,False,12,302.34771850000004,12,544.06494140625,302.34771850000004,0.0,0.0,True,feasible
3,2/128/32,2,128,32,768,max_gpu,False,12,302.34771850000004,12,544.06494140625,302.34771850000004,0.0,0.0,True,feasible
3,2/128/32,2,128,32,768,compute,False,12,302.34771850000004,12,544.06494140625,302.34771850000004,0.0,0.0,True,feasible
3,2/128/32,2,128,32,768,compute_transfer,False,12,302.34771850000004,12,544.06494140625,302.34771850000004,0.0,0.0,True,feasible
3,2/128/32,2,128,32,1024,max_gpu,False,12,302.34771850000004,12,544.06494140625,302.34771850000004,0.0,0.0,True,feasible
3,2/128/32,2,128,32,1024,compute,False,12,302.34771850000004,12,544.06494140625,302.34771850000004,0.0,0.0,True,feasible
3,2/128/32,2,128,32,1024,compute_transfer,False,12,302.34771850000004,12,544.06494140625,302.34771850000004,0.0,0.0,True,feasible
4,2/32/32,2,32,32,256,max_gpu,False,3,1139.652447,0,0.0,1839.3212595,61.3931742384966,0.0,False,feasible
4,2/32/32,2,32,32,256,compute,False,3,1139.652447,0,0.0,1839.3212595,61.3931742384966,0.0,False,feasible
4,2/32/32,2,32,32,256,compute_transfer,False,3,1139.652447,0,0.0,1839.3212595,61.3931742384966,0.0,False,feasible
