fold,policy,budget_mib,fit_models_seconds,candidate_prediction_ms,selection_only_ms
1,compute_transfer,512,0.013510002000089116,58.87146700001722,2.555336999989777
1,max_gpu,640,0.013510002000089116,58.87146700001722,1.854099000070164
1,compute,640,0.013510002000089116,58.87146700001722,2.4813339999809614
1,compute_transfer,640,0.013510002000089116,58.87146700001722,2.489770000011049
1,max_gpu,768,0.013510002000089116,58.87146700001722,1.9156350000457678
1,compute,768,0.013510002000089116,58.87146700001722,2.4852499999497013
1,compute_transfer,768,0.013510002000089116,58.87146700001722,2.5650910000649674
1,max_gpu,1024,0.013510002000089116,58.87146700001722,1.968734999991284
1,compute,1024,0.013510002000089116,58.87146700001722,2.4821929999916392
1,compute_transfer,1024,0.013510002000089116,58.87146700001722,2.4746489999643018
2,max_gpu,256,0.013260757000011836,59.02831399998831,2.0754250000436514
2,compute,256,0.013260757000011836,59.02831399998831,4.034851000028539
2,compute_transfer,256,0.013260757000011836,59.02831399998831,3.9591979999613613
2,max_gpu,320,0.013260757000011836,59.02831399998831,3.150329999925816
2,compute,320,0.013260757000011836,59.02831399998831,4.08081199998378
2,compute_transfer,320,0.013260757000011836,59.02831399998831,4.389931999980945
2,max_gpu,384,0.013260757000011836,59.02831399998831,3.155297000034807
2,compute,384,0.013260757000011836,59.02831399998831,2.793042999996942
2,compute_transfer,384,0.013260757000011836,59.02831399998831,2.7186889999484265
2,max_gpu,448,0.013260757000011836,59.02831399998831,2.0616570000129286
2,compute,448,0.013260757000011836,59.02831399998831,2.7500489999283673
2,compute_transfer,448,0.013260757000011836,59.02831399998831,2.662864000058107
2,max_gpu,512,0.013260757000011836,59.02831399998831,2.0743640000091546
2,compute,512,0.013260757000011836,59.02831399998831,2.6748369999722854
2,compute_transfer,512,0.013260757000011836,59.02831399998831,2.753188000042428
2,max_gpu,640,0.013260757000011836,59.02831399998831,1.921339999967131
2,compute,640,0.013260757000011836,59.02831399998831,2.610315000083574
2,compute_transfer,640,0.013260757000011836,59.02831399998831,2.572345999965364
2,max_gpu,768,0.013260757000011836,59.02831399998831,1.9539400000212481
2,compute,768,0.013260757000011836,59.02831399998831,2.5827360000221233
2,compute_transfer,768,0.013260757000011836,59.02831399998831,2.5558879999607598
2,max_gpu,1024,0.013260757000011836,59.02831399998831,1.9508220000261645
2,compute,1024,0.013260757000011836,59.02831399998831,2.5744179999946937
2,compute_transfer,1024,0.013260757000011836,59.02831399998831,2.633862000038789
3,max_gpu,256,0.014084535999927539,58.04751400000896,2.0646019999048804
3,compute,256,0.014084535999927539,58.04751400000896,2.4642129999392637
3,compute_transfer,256,0.014084535999927539,58.04751400000896,2.4761749999697713
3,max_gpu,320,0.014084535999927539,58.04751400000896,1.9619339999508156
3,compute,320,0.014084535999927539,58.04751400000896,2.589199999988523
3,compute_transfer,320,0.014084535999927539,58.04751400000896,2.5682530000494808
3,max_gpu,384,0.014084535999927539,58.04751400000896,1.9283010000208378
3,compute,384,0.014084535999927539,58.04751400000896,2.5302699999656397
3,compute_transfer,384,0.014084535999927539,58.04751400000896,2.642256000058296
3,max_gpu,448,0.014084535999927539,58.04751400000896,1.9606630000907899
3,compute,448,0.014084535999927539,58.04751400000896,2.5679690000970368
3,compute_transfer,448,0.014084535999927539,58.04751400000896,2.5809439999875394
3,max_gpu,512,0.014084535999927539,58.04751400000896,1.9715590000259908
3,compute,512,0.014084535999927539,58.04751400000896,2.5836799999297
3,compute_transfer,512,0.014084535999927539,58.04751400000896,2.5960509999549686
3,max_gpu,640,0.014084535999927539,58.04751400000896,1.9433080000226255
3,compute,640,0.014084535999927539,58.04751400000896,3.6099510000440205
3,compute_transfer,640,0.014084535999927539,58.04751400000896,2.907236000055491
3,max_gpu,768,0.014084535999927539,58.04751400000896,2.0744380000223828
3,compute,768,0.014084535999927539,58.04751400000896,2.7250530000628714
3,compute_transfer,768,0.014084535999927539,58.04751400000896,2.6968710000119245
3,max_gpu,1024,0.014084535999927539,58.04751400000896,1.9662799999196068
3,compute,1024,0.014084535999927539,58.04751400000896,2.598558000045159
3,compute_transfer,1024,0.014084535999927539,58.04751400000896,2.6464310000164915
4,max_gpu,256,0.013913882999986527,59.50394100000267,2.157379999971454
4,compute,256,0.013913882999986527,59.50394100000267,2.6520400000435984
4,compute_transfer,256,0.013913882999986527,59.50394100000267,2.601062000053389
4,max_gpu,320,0.013913882999986527,59.50394100000267,2.020485999992161
4,compute,320,0.013913882999986527,59.50394100000267,2.701172999991286
4,compute_transfer,320,0.013913882999986527,59.50394100000267,2.703279999991537
4,max_gpu,384,0.013913882999986527,59.50394100000267,2.0114259999672868
4,compute,384,0.013913882999986527,59.50394100000267,2.630727999985538
4,compute_transfer,384,0.013913882999986527,59.50394100000267,2.6794120000204202
4,max_gpu,448,0.013913882999986527,59.50394100000267,1.998804999971071
4,compute,448,0.013913882999986527,59.50394100000267,2.6697329999478825
4,compute_transfer,448,0.013913882999986527,59.50394100000267,2.5982859999658103
4,max_gpu,512,0.013913882999986527,59.50394100000267,2.023300000018935
4,compute,512,0.013913882999986527,59.50394100000267,2.9409100000066246
4,compute_transfer,512,0.013913882999986527,59.50394100000267,2.670808999937435
4,max_gpu,640,0.013913882999986527,59.50394100000267,1.9270809999625271
4,compute,640,0.013913882999986527,59.50394100000267,2.515308999932131
4,compute_transfer,640,0.013913882999986527,59.50394100000267,2.5413490000119054
4,max_gpu,768,0.013913882999986527,59.50394100000267,1.9176819999984218
4,compute,768,0.013913882999986527,59.50394100000267,2.6675269999714146
4,compute_transfer,768,0.013913882999986527,59.50394100000267,2.5878349999857164
4,max_gpu,1024,0.013913882999986527,59.50394100000267,1.9445130000121935
4,compute,1024,0.013913882999986527,59.50394100000267,2.532524999992347
4,compute_transfer,1024,0.013913882999986527,59.50394100000267,2.5325919999659163
5,max_gpu,256,0.013337174000071172,65.20897700011119,2.2993420000148035
5,compute,256,0.013337174000071172,65.20897700011119,3.04764800000612
5,compute_transfer,256,0.013337174000071172,65.20897700011119,2.6163270000552075
5,max_gpu,320,0.013337174000071172,65.20897700011119,1.9112260000611059
