case_index,layout,gpu_layers,cpu_offload_ratio,batch_size,sequence_length,new_tokens,trial,prefill_ms,prefill_input_tokens_per_s,ttft_ms,generation_ms,decode_ms,decode_tpot_ms,decode_generated_tokens_per_s,generation_generated_tokens_per_s,final_kv_cpu_bytes,final_kv_gpu_bytes,final_cached_positions,decode_step_ms_json
2,interleaved,6,0.5,1,512,32,0,624.539671,819.8038071467842,660.740771,1796.096592,1135.355821,36.624381322580646,27.30421549492368,17.8164137399577,20017152,20017152,543,"[31.278683, 30.683723, 30.642061, 30.393773, 30.50768, 30.230946, 30.207905, 30.24751, 30.964528, 30.860827, 30.894877, 33.41381, 35.421374, 31.143295, 30.888151, 30.979939, 30.703391, 50.060078, 39.23285, 30.119347, 30.394547, 29.789878, 29.895667, 29.922577, 29.976808, 36.070088, 59.332914, 60.640559, 59.436217, 61.543197, 59.446099]"
2,interleaved,6,0.5,1,512,32,1,1430.26753,357.9749866795899,1282.772609,2593.99521,1311.222601,42.297503258064516,23.642057402273224,12.33618314969826,20017152,20017152,543,"[72.882249, 59.10281, 59.541164, 62.645133, 64.041455, 183.953279, 34.246056, 32.371092, 31.485209, 30.952722, 30.798603, 30.916973, 30.860185, 30.871672, 30.557316, 30.531063, 30.704105, 30.589537, 30.839865, 29.990141, 29.65832, 30.193438, 30.232077, 34.421823, 58.160711, 30.440373, 30.486355, 29.665943, 29.514491, 40.45414, 30.082106]"
2,interleaved,6,0.5,1,512,32,2,629.392863,813.4823734091182,674.164767,1677.837355,1003.6725879999999,32.37653509677419,30.886566366999357,19.072170436925337,20017152,20017152,543,"[29.965602, 49.823749, 42.247317, 30.090563, 29.967559, 29.952292, 29.564061, 29.67002, 30.769131, 34.283186, 30.527067, 30.536235, 35.246581, 37.444631, 29.86966, 30.376829, 34.673891, 55.175493, 29.753158, 29.857695, 29.143169, 29.07197, 29.299217, 29.260551, 28.543903, 28.931748, 29.792626, 30.083321, 31.171192, 28.965024, 29.584397]"
2,interleaved,6,0.5,1,512,32,3,630.981975,811.4336388135334,659.092227,1616.211341,957.119114,30.87481012903226,32.38886314833328,19.799390827316316,20017152,20017152,543,"[31.003776, 30.274647, 30.223391, 29.853764, 29.857657, 33.542986, 29.464961, 29.971789, 29.518613, 30.379913, 29.414146, 29.320014, 45.955119, 41.518409, 29.700479, 29.452404, 29.543451, 29.162767, 29.196931, 30.981688, 32.63691, 30.9128, 30.120711, 29.888812, 29.463304, 29.071652, 30.000258, 28.852976, 28.704319, 29.68207, 29.416392]"
2,interleaved,6,0.5,1,512,32,4,651.800894,785.5159523607527,632.617437,1605.051054,972.433617,31.36882635483871,31.878782734431116,19.937060519197665,20017152,20017152,543,"[30.876791, 29.283012, 29.585017, 28.873898, 28.637654, 28.909488, 29.18781, 29.093859, 48.184987, 37.72022, 29.495627, 30.789639, 35.216891, 30.269621, 29.786809, 29.767598, 29.55832, 29.572988, 29.505179, 28.903359, 34.552546, 32.697375, 30.752487, 32.220448, 32.078614, 30.4496, 30.764689, 30.253701, 30.901487, 30.654004, 33.857268]"
2,interleaved,6,0.5,1,512,32,5,663.501574,771.6635801077994,621.718606,1586.667816,964.9492099999999,31.127393870967737,32.12604319350653,20.168052617763568,20017152,20017152,543,"[30.945279, 30.630654, 30.327731, 62.79423, 31.212204, 30.580772, 30.249758, 30.573468, 30.161759, 29.474998, 30.091243, 30.084667, 29.963355, 29.95011, 30.01382, 29.745325, 29.974332, 29.706051, 29.809921, 29.691469, 29.637746, 29.39338, 32.974184, 29.650384, 29.450461, 29.997305, 29.57216, 29.43911, 29.647914, 29.664416, 29.511134]"
2,interleaved,6,0.5,1,512,32,6,1096.963876,466.7428082198761,1422.851963,2974.06198,1551.2100169999999,50.03903280645161,19.984399056391602,10.759695061903182,20017152,20017152,543,"[64.162531, 72.798177, 60.407251, 73.549672, 152.388164, 56.640692, 58.998076, 53.127147, 60.034168, 54.790133, 51.280972, 69.351777, 51.591881, 49.686954, 54.789892, 81.76081, 60.609034, 33.481424, 29.608812, 29.631416, 29.93274, 34.110784, 30.222519, 30.21136, 29.770521, 29.716214, 29.6619, 29.786659, 29.833667, 29.462737, 29.779735]"
2,interleaved,6,0.5,1,512,32,7,649.325255,788.5108365298374,625.230256,1593.017892,967.787636,31.218956000000002,32.03182066690507,20.087658877342978,20017152,20017152,543,"[30.607284, 30.344859, 30.05117, 29.414773, 29.572968, 29.021135, 29.580814, 29.161102, 29.542277, 35.849513, 50.208684, 29.92677, 29.478123, 30.092031, 34.041597, 30.701483, 30.371486, 30.849075, 30.646147, 30.334861, 30.471014, 30.284593, 30.029997, 30.462825, 29.932737, 31.172719, 33.326601, 32.167643, 30.136589, 30.075772, 29.900217]"
2,interleaved,6,0.5,1,512,32,8,653.756697,783.1659734416456,626.374767,1620.368116,993.9933490000001,32.064301580645164,31.187331415433846,19.74859890417641,20017152,20017152,543,"[32.213594, 30.564188, 30.203699, 30.198551, 46.638765, 50.978422, 33.518173, 29.65765, 30.670346, 30.203801, 29.817362, 29.984276, 29.901659, 30.242088, 29.898705, 30.740991, 31.003913, 34.624332, 34.146611, 32.874603, 30.822207, 30.798089, 30.447895, 30.734207, 30.837052, 30.735443, 30.553677, 30.407901, 30.492988, 29.915691, 30.135697]"
2,interleaved,6,0.5,1,512,32,9,667.184447,767.403979967177,648.341162,1625.44892,977.107758,31.519605096774193,31.726285812582812,19.686869028157464,20017152,20017152,543,"[44.870908, 31.17113, 30.890619, 30.568471, 30.47683, 30.520971, 30.6285, 32.391462, 33.359861, 31.28099, 33.816868, 30.857051, 30.954501, 31.273766, 30.758124, 30.959646, 30.819462, 30.514828, 30.659163, 30.528308, 30.580254, 30.337475, 30.26216, 30.559939, 30.683455, 30.713736, 30.805886, 30.677011, 30.715655, 30.560804, 33.878264]"
