case_index,layout,gpu_layers,cpu_offload_ratio,batch_size,sequence_length,new_tokens,status,activation_boundaries,dtype,placement_prefill_max_abs_error,placement_decode_max_abs_error,placement_argmax_agreement,gpu_baseline_allocated_bytes,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,cpu_parameter_bytes,gpu_parameter_bytes,cpu_buffer_bytes,gpu_buffer_bytes,prefill_ms_median,prefill_ms_p95,prefill_ms_min,prefill_ms_max,prefill_input_tokens_per_s_median,prefill_input_tokens_per_s_p95,prefill_input_tokens_per_s_min,prefill_input_tokens_per_s_max,ttft_ms_median,ttft_ms_p95,ttft_ms_min,ttft_ms_max,generation_ms_median,generation_ms_p95,generation_ms_min,generation_ms_max,decode_ms_median,decode_ms_p95,decode_ms_min,decode_ms_max,decode_tpot_ms_median,decode_tpot_ms_p95,decode_tpot_ms_min,decode_tpot_ms_max,decode_generated_tokens_per_s_median,decode_generated_tokens_per_s_p95,decode_generated_tokens_per_s_min,decode_generated_tokens_per_s_max,generation_generated_tokens_per_s_median,generation_generated_tokens_per_s_p95,generation_generated_tokens_per_s_min,generation_generated_tokens_per_s_max,final_kv_cpu_bytes,final_kv_gpu_bytes,final_cached_positions,gpu_peak_above_baseline_bytes,profile_prefill_cpu_compute_ms,profile_prefill_gpu_compute_ms,profile_prefill_activation_copy_ms,profile_prefill_token_copy_ms,profile_prefill_activation_fraction,profile_prefill_activation_bytes,profile_decode_cpu_compute_ms,profile_decode_gpu_compute_ms,profile_decode_activation_copy_ms,profile_decode_token_copy_ms,profile_decode_activation_fraction,profile_decode_activation_bytes
10,prefix,6,0.5,1,32,32,ok,2,float32,0.0001678466796875,6.103515625e-05,1.0,346537984,351552000,383778816,170108928,327650304,6291456,6291456,60.695328,130.98884914999996,59.569433,141.92552,527.264570498659,536.6836713427549,225.47037347476336,537.1882589515332,61.2956985,106.1000102,58.718102,107.264783,763.9714449999999,1707.3259059499987,736.57903,2274.075305,702.6757465,1601.2258957499985,676.247844,2166.8105219999998,22.666959564516127,51.65244824999995,21.81444658064516,69.89711361290321,44.122948126473915,45.7619058609617,14.306742414831232,45.8411812696293,41.89030602467637,43.23702481772777,14.07165362098684,43.4440823003066,2322432,2322432,63,5014016,55.500838,6.621635,0.195899,0.105502,0.0031382063855889494,196608,26.016759999999998,6.678746,0.11683299999999999,0.054483,0.0035547397920005774,6144
11,prefix,3,0.75,4,128,32,ok,2,float32,0.00017547607421875,5.340576171875e-05,1.0,256764928,297139200,308281344,255163392,242595840,9437184,3145728,771.7808355,1336.353340399999,735.978953,1763.493083,663.4009796284763,695.5344577485336,290.3328654564391,695.6720676766417,758.4385835,1112.4738484499994,726.099504,1313.44878,2667.7708075,4462.0102064,2610.458743,4465.480853,1900.4580394999998,3658.5069113499994,1852.9243470000001,3707.4864489999995,61.305098048387094,118.01635197903225,59.77175312903226,119.59633706451612,65.24798380509316,66.60188991884841,33.445840384243574,66.92124273760217,47.98052751743639,49.028849102455496,28.664326242493463,49.03352728451836,35168256,11722752,159,40374272,773.564349,16.900256,1.097084,0.12567699999999998,0.0013857540831338719,3145728,57.119997,10.66891,0.159068,0.050784,0.0023392779859408904,24576
12,prefix,3,0.75,4,32,32,ok,2,float32,0.00017547607421875,5.340576171875e-05,1.0,256764928,268169216,301989888,255163392,242595840,9437184,3145728,214.44498099999998,234.76499514999998,205.519489,237.326824,596.9195588327209,614.8467466361466,539.3406351740501,622.8119806195119,233.612211,257.8757483,211.202244,269.074343,1940.5204455,3842.58012475,1873.090507,3846.24148,1700.8013919999999,3614.1216281,1661.0120109999998,3618.882557,54.86456103225807,116.58456864838709,53.58103261290322,116.738147,72.90681387577796,74.38326890992074,34.26472068294865,74.65328316641535,65.96196248038345,67.76706170058007,33.27924173913282,68.3362600587885,13934592,4644864,63,11404288,196.507651,7.013046,0.418347,0.14460499999999998,0.0020498800469801477,786432,47.812703,4.8326970000000005,0.16747299999999998,0.052818,0.003167895790863681,24576
13,prefix,9,0.25,1,128,32,ok,2,float32,0.0001678466796875,4.57763671875e-05,1.0,433165312,451100160,503316480,85054464,412704768,3145728,9437184,82.7410555,99.56064254999997,80.605528,110.669334,1547.0048221850257,1579.7790924757746,1156.5986292101477,1587.9804174224873,82.506283,114.3556016,80.000224,115.730762,611.8195995,644.7951125999999,571.742428,660.345831,513.0779755000001,546.9169993,491.442092,551.872663,16.550902435483874,17.642483848387098,15.85297070967742,17.802343967741937,60.43535420375336,62.848638357935855,56.17237830097049,63.079659851358436,52.303409259417805,55.7824138332619,48.45945639051063,55.96925894049619,2930688,8792064,159,17934848,75.672823,13.326077,0.355856,0.143617,0.003976116973657164,786432,9.128728,7.650825,0.120171,0.044947,0.007091964193344327,6144
14,prefix,0,1.0,1,128,32,ok,0,float32,0.0,0.0,1.0,0,0,0,497759232,0,12582912,0,305.2994565,696.8802901,298.657778,698.67256,419.26077890328406,428.2081818614856,183.204561518775,428.5841837342003,316.74072,469.3907326499999,295.598303,496.818333,1946.9361745,3403.30870215,1872.352887,3446.270127,1630.379284,3087.7105208999997,1575.837823,3114.3084089999998,52.59288012903225,99.60356519032257,50.83347816129032,100.46156158064515,19.014540022401377,19.656438399245502,9.954055902239322,19.672075100332197,16.43637463372191,16.927302310665645,9.285400975766287,17.090795342149622,11722752,0,159,0,331.367655,0.0,0.0,0.0,0.0,0,49.193679,0.0,0.0,0.0,0.0,0
15,prefix,3,0.75,2,512,32,ok,2,float32,0.00017547607421875,5.340576171875e-05,1.0,256764928,341707776,358612992,255163392,242595840,9437184,3145728,2024.1349500000001,2047.41882235,1993.858651,2053.445338,505.89581557837306,511.98874887258825,498.6740971626487,513.5770278833071,2166.8508455,2371.33906125,2003.018041,2382.855558,4480.2067065,5520.552171599999,3498.851221,5536.012017,2247.1276995,3253.83407985,1484.0063149999999,3255.312225,72.48799030645161,104.96238967258064,47.8711714516129,105.01007177419355,30.615936884518227,41.190071451417325,19.045792143639922,41.77879795612595,14.826471201160249,18.20040859025198,11.560668546865259,18.291718040445367,60051456,20017152,543,84942848,1979.113044,27.540813,1.768982,0.118972,0.0008807294875874506,6291456,45.213831,4.068505,0.157466,0.049476,0.003181820514738566,12288
16,prefix,9,0.25,1,32,32,ok,2,float32,0.0001678466796875,4.57763671875e-05,1.0,433165312,440483328,478150656,85054464,412704768,3145728,9437184,35.771779,39.2733087,34.751103,40.192863,894.5663413284033,919.4966296727375,796.1612488266884,920.8340811513234,35.886399999999995,60.18024204999996,34.636396,75.315349,532.0402265,1168.8160303999987,510.397915,1667.909072,495.23193599999996,1108.6357883499988,473.327747,1592.593723,15.975223741935482,35.76244478548384,15.268637,51.373991064516126,62.6077459036518,65.32966351362879,19.46510246292111,65.4937307108683,60.150758954177704,62.601280406562196,19.185698151775508,62.696180880754575,1161216,3483648,63,7318016,276.438828,20.148228,0.22048099999999998,0.120527,0.0007425401190774611,196608,72.236895,16.892856000000002,0.129259,0.047398,0.001447365344713002,6144
17,prefix,6,0.5,2,512,32,ok,2,float32,0.0001678466796875,6.103515625e-05,1.0,344965120,448782336,480247808,170108928,327650304,6291456,6291456,1207.0484740000002,1780.543250349999,1189.359811,2236.064272,848.3506667043206,860.5607616257106,457.9474806795714,860.9673797023902,1205.6164245,1844.3619010499992,1180.036992,2155.33041,2361.4388085,4182.736502199999,2273.105633,4271.065573,1110.61369,2932.31056435,1093.068641,2983.9337619999997,35.82624806451613,94.59066336612902,35.26027874193549,96.2559278064516,55.82508018807139,56.43384303060568,20.77794111570497,56.72104904892244,27.102176816630816,27.98350332112682,14.984551022719689,28.15531274520404,40034304,40034304,543,103817216,1310.794724,54.618453,1.88848,0.28575300000000003,0.0013808843121771645,6291456,28.00617,6.948911,0.13992,0.050291,0.003981187579832883,12288
18,prefix,9,0.25,4,32,32,ok,2,float32,0.0001678466796875,4.57763671875e-05,1.0,433165312,462434816,524288000,85054464,412704768,3145728,9437184,83.11041900000001,236.94469184999974,79.581462,342.682248,1540.1198546099558,1584.9335810029559,373.5238715954729,1608.4147838349588,83.3288955,200.8766847499998,79.417324,278.889011,909.1005205,1773.2485778499988,888.295558,2275.232203,826.815248,1572.371893099999,801.915202,1996.343192,26.671459612903227,50.721673970967714,25.868232322580646,64.39816748387096,149.9746098049825,153.66764474487275,62.113568697460714,154.6298158343181,140.80072886793124,143.49594487710834,56.25799416482679,144.09618380642627,4644864,13934592,63,29269504,68.303118,16.685511,0.40308900000000003,0.122788,0.00471369149931124,786432,19.469059,9.76064,0.151379,0.052764,0.0051430255010541945,24576
19,prefix,3,0.75,2,32,32,ok,2,float32,0.00017547607421875,5.340576171875e-05,1.0,256764928,262184448,293601280,255163392,242595840,9437184,3145728,132.77594349999998,207.6652427999999,123.077744,248.631405,482.01503344856076,511.93565384156244,257.409155532866,519.996531623134,130.31592,243.84696649999978,126.49329,330.841979,1139.652447,2229.453655049998,1128.6033,3082.897776,1010.9648179999999,1989.3200111499982,993.329574,2752.055797,32.611768322580645,64.17161326290318,32.042889483870965,88.7759934516129,61.32829834621623,62.231470097173606,22.52861299817607,62.41634360118226,56.15759630667276,56.67498846430058,20.759689308621436,56.707259317778,6967296,2322432,63,5419520,132.01248999999999,5.21541,0.267348,0.11188600000000001,0.0019428353184072563,393216,27.585171,3.903573,0.135147,0.045177,0.004267476390527185,12288
20,prefix,6,0.5,1,128,32,ok,2,float32,0.0001678466796875,6.103515625e-05,1.0,344965120,358728704,387973120,170108928,327650304,6291456,6291456,152.512608,218.58612934999988,146.846543,269.748329,839.2797865834717,861.2589427587857,474.5163778197121,871.6582453016957,174.714333,240.83529714999986,168.857864,290.957203,908.5480755,1925.8790986499992,896.027973,2261.654709,732.8276575,1698.2559147499992,725.232422,2085.850268,23.63960185483871,54.7824488629032,23.39459425806452,67.28549251612904,42.302008318696394,42.74118947336458,14.862044738102936,42.74491743558591,35.22211675695415,35.693711250323126,14.148932581379292,35.71317075387779,5861376,5861376,159,13763584,140.811825,9.524037,0.369547,0.115689,0.0024502341177757504,786432,18.165589,5.744647,0.115844,0.042782,0.004813023565468114,6144
21,prefix,12,0.0,1,512,32,ok,0,float32,0.00019073486328125,5.340576171875e-05,1.0,521365504,612741632,635437056,0,497759232,0,12582912,31.9918155,33.6608789,30.989547,34.341206,16004.114537119309,16442.536802819308,14909.20266457736,16521.700042920922,51.4710775,54.821087399999996,45.890572,55.259769,303.0373255,319.47340315,298.407928,320.0359,251.33120000000002,268.1583521,246.247187,268.234439,8.10745806451613,8.650269422580646,7.94345764516129,8.652723838709678,123.34596937271104,125.43164792054947,115.5705438703939,125.88976295595207,105.59783765247786,107.2175657627106,99.98878250846232,107.23575681943677,0,40034304,543,91376128,0.0,32.144008,0.0,0.124301,0.0,0,0.0,9.535573,0.0,0.04157,0.0,0
22,prefix,3,0.75,2,128,32,ok,2,float32,0.00017547607421875,5.340576171875e-05,1.0,256764928,276427776,301989888,255163392,242595840,9437184,3145728,410.8870185,434.1688568,390.671692,438.695243,623.1638567300829,653.4872230977196,583.5486116725456,655.281673185576,402.1415645,448.32665929999996,383.738868,456.534185,1532.3844515,2641.0697887499978,1461.549558,3525.550452,1104.3393885,2218.325321199998,1077.8106899999998,3094.928446,35.62385124193548,71.55888132903219,34.76808677419354,99.83640148387096,56.142193379166095,57.12536278561068,20.032773319890836,57.5240165784587,41.76530981399782,43.41664460465914,18.153193627875503,43.78914122322221,17584128,5861376,159,19662848,420.540663,8.254813,1.03973,0.157353,0.0024180185871542025,1572864,61.373058,5.0346589999999996,0.130793,0.051494,0.001964153658858468,12288
23,prefix,0,1.0,1,32,32,ok,0,float32,0.0,0.0,1.0,0,0,0,497759232,0,12582912,0,125.7883665,191.79483394999988,121.17937,237.91892,254.3980920828747,262.196119891167,134.4996017971164,264.07135141897504,123.3507385,260.7633659999998,120.206042,348.106638,1669.9454185,3518.975228,1601.233709,3632.490329,1547.559138,3290.8475259999996,1474.6335020000001,3502.527211,49.92126251612903,106.15637180645159,47.5688226451613,112.98474874193549,20.032192786592617,20.890937687923206,8.850752080566776,21.022172599466682,19.162936273202615,19.88741914736112,8.809383398636434,19.98459051925942,4644864,0,63,0,123.296555,0.0,0.0,0.0,0.0,0,46.75618,0.0,0.0,0.0,0.0,0
24,prefix,12,0.0,4,32,32,ok,0,float32,0.00019073486328125,5.340576171875e-05,1.0,521365504,559851008,622854144,0,497759232,0,12582912,10.502395,10.98073555,10.244417,11.266882,12187.966884375826,12466.55981226012,11360.729614457663,12494.610479054103,10.620152000000001,10.977734,10.30147,11.03555,307.163628,321.41964465,302.800178,324.023166,296.665539,310.65389895000004,292.073018,313.116096,9.569856096774194,10.02109351451613,9.421710258064516,10.100519225806453,417.98420168011353,423.68286194277255,396.01924520673634,424.55137023304223,416.7221960827036,422.0462557029544,395.0334835009914,422.7210196686212,0,18579456,63,38485504,0.0,13.565762,0.0,0.106582,0.0,0,0.0,11.264899,0.0,0.038158,0.0,0
25,prefix,0,1.0,4,128,32,ok,0,float32,0.0,0.0,1.0,0,0,0,497759232,0,12582912,0,1057.5203145,1911.2768365999987,1044.467365,2443.081973,484.1568457629629,490.18912722475375,209.57135522198053,490.20200837007485,1061.0750094999999,1974.8628523999994,1009.979108,2298.770714,4361.8602465,6170.484561249999,4244.029459,6212.200945,3231.9179735,5013.9813273,3161.1305619999994,5036.352269999999,104.25541849999999,161.74133313870965,101.9719536129032,162.4629764516129,38.36732707831736,38.97806568350792,24.62099419427625,39.226472164929206,29.355212301182153,30.149282608978446,20.60461358755999,30.160016851098863,46891008,0,159,0,1052.321666,0.0,0.0,0.0,0.0,0,96.864198,0.0,0.0,0.0,0.0,0
26,prefix,6,0.5,2,128,32,ok,2,float32,0.0001678466796875,6.103515625e-05,1.0,344965120,369346560,421527552,170108928,327650304,6291456,6291456,275.0525335,297.29770405,263.310647,301.358554,930.7361267721075,969.3274489632288,849.4864227414629,972.2356574514056,279.7256025,416.8350065499998,264.411115,506.280508,1121.069234,2216.214833499998,1089.45469,3067.535008,842.3119865,1799.7730900499982,798.302706,2561.2545,27.171354403225806,58.05719645322574,25.751700193548384,82.62111290322581,73.60904293002028,76.53202191775748,24.206887679455516,77.66477494565828,57.09010715700105,58.54688986022989,20.863657572966808,58.744985530329856,11722752,11722752,159,24381440,268.829341,14.661114,0.664542,0.136881,0.0023375342435917215,1572864,20.744215,7.218503,0.121459,0.044564,0.004317967874921952,12288
27,prefix,9,0.25,1,512,32,ok,2,float32,0.0001678466796875,4.57763671875e-05,1.0,433165312,501440000,528482304,85054464,412704768,3145728,9437184,342.79173249999997,649.3651182,322.461074,655.450551,1493.6628902925345,1573.9700371534445,781.1420697089321,1587.7885465332165,339.99457900000004,767.37921185,327.757846,772.752611,1037.1012765,2324.7710841,897.981884,2420.579298,698.4538555,1558.5859609499998,563.438868,1659.767574,22.530769532258063,50.27696648225806,18.17544735483871,53.54088948387097,44.41198992604903,54.70598683989486,18.677313911664598,55.0192785067146,30.863760187587808,35.40231793366182,13.219975906775684,35.635462775104266,10008576,30025728,543,68274688,504.820995,44.017996000000004,1.1250499999999999,0.130883,0.002045192476635178,3145728,15.318517,8.199454,0.129929,0.047948,0.005483196887488474,6144
28,prefix,12,0.0,2,128,32,ok,0,float32,0.00019073486328125,5.340576171875e-05,1.0,522938368,570493440,627048448,0,497759232,0,12582912,13.583848,14.194921899999999,13.460591,14.234575,18846.034173214277,19008.09672243006,17984.37958281157,19018.48143220457,14.454046,15.972084749999999,13.677016,16.152699,302.34771850000004,326.1829924,298.937279,330.512338,287.795068,312.23941345,283.815722,316.430668,9.283711870967743,10.072239143548387,9.155345870967741,10.207440903225807,215.43115894455462,218.09727743564363,195.93549636598433,218.4516050171456,211.67699102528746,213.88919523579085,193.6387621329888,214.0917326005366,0,23445504,159,47555072,0.0,16.533245,0.0,0.137987,0.0,0,0.0,10.031855,0.0,0.039799,0.0,0
29,prefix,9,0.25,2,128,32,ok,2,float32,0.0001678466796875,4.57763671875e-05,1.0,433165312,469034496,522190848,85054464,412704768,3145728,9437184,159.156833,240.21926979999995,154.579519,271.209238,1608.4799976682962,1644.5213974532717,943.9206491926354,1656.1055543199095,159.7262525,264.2062118999998,154.42298,344.909697,769.383394,1692.1001201499994,748.931189,1913.836042,609.8174405,1451.5632713999994,590.62093,1758.69516,19.671530338709672,46.824621658064494,19.05228806451613,56.73210193548387,101.66986962444446,104.86790824371262,35.25340912406901,104.97426835178359,83.18415681399266,85.13948051027768,33.44069115404401,85.45511382087734,5861376,17584128,159,35869184,172.35916500000002,21.106445,0.652497,0.122698,0.0033592169266390757,1572864,10.444364,9.511204,0.122111,0.045045,0.006068313614001761,12288
30,prefix,0,1.0,2,128,32,ok,0,float32,0.0,0.0,1.0,0,0,0,497759232,0,12582912,0,592.15624,973.3747236999993,565.277013,1258.839718,432.33663158163847,448.73270318325615,203.36187072864507,452.8753055804871,607.470412,958.3098518999993,593.66871,1211.934567,2477.5892885000003,4513.3329862,2369.640089,4599.697663,1836.7878345,3616.9311708499995,1775.961395,3804.432323,59.25122046774194,116.6751990596774,57.289077258064516,122.72362332258065,33.75626544805539,34.83281371509215,16.296780895581723,34.91066876484666,25.831686935007,26.921581611451764,13.9139579791986,27.008320924806906,23445504,0,159,0,617.453574,0.0,0.0,0.0,0.0,0,54.693908,0.0,0.0,0.0,0.0,0
