bytes,pinned,direction,trial,wall_ms,cuda_event_span_ms,wall_effective_GB_per_s,event_span_effective_GB_per_s
3072,True,D2H,9,0.045055,0.024768000468611717,0.06818333148374209,0.12403100540526557
3072,True,D2H,10,0.04468,0.024383999407291412,0.06875559534467324,0.12598425503083785
3072,True,D2H,11,0.044532,0.02412799932062626,0.06898410132039881,0.12732095849214672
3072,True,D2H,12,0.04476,0.024159999564290047,0.06863270777479893,0.12715232017390446
3072,True,D2H,13,0.05139,0.024288000538945198,0.059778166958552245,0.12648221063212367
3072,True,D2H,14,0.044949,0.02457600086927414,0.0683441233397851,0.12499999557864325
3072,True,D2H,15,0.044129,0.023840000852942467,0.06961408597520904,0.12885905579239257
3072,True,D2H,16,0.043667,0.023455999791622162,0.07035060801062587,0.13096862326445083
3072,True,D2H,17,0.044208,0.023744000121951103,0.06948968512486428,0.12938005324384938
3072,True,D2H,18,0.043544,0.023423999547958374,0.07054932941392614,0.13114754351452138
3072,True,D2H,19,0.05682,0.03270399942994118,0.05406546990496304,0.09393346543381852
3072,True,D2H,20,0.044283,0.023871999233961105,0.06937199376735993,0.12868633120721912
3072,True,D2H,21,0.044837,0.024032000452280045,0.0685148426522738,0.12782955818014488
3072,True,D2H,22,0.044365,0.023871999233961105,0.06924377324467486,0.12868633120721912
3072,True,D2H,23,0.264771,0.04896000027656555,0.01160247912346896,0.06274509768478079
3072,True,D2H,24,0.048066,0.027424000203609467,0.06391212083385345,0.11201866894661386
3072,True,D2H,25,0.046155,0.02489599958062172,0.06655833604159896,0.12339331827395877
3072,True,D2H,26,0.044189,0.023615999147295952,0.06951956369232162,0.13008130550986008
3072,True,D2H,27,0.044535,0.024064000695943832,0.06897945436173795,0.1276595707761016
3072,True,D2H,28,0.044495,0.024159999564290047,0.0690414653331835,0.12715232017390446
3072,True,D2H,29,0.044012,0.023615999147295952,0.06979914568753977,0.13008130550986008
3072,True,D2H,30,0.044847,0.02425600029528141,0.06849956518830691,0.1266490749753827
3072,True,D2H,31,0.043818,0.023423999547958374,0.07010817472271669,0.13114754351452138
3072,True,D2H,32,0.044303,0.02348800003528595,0.06934067670360923,0.13079019053920912
3072,True,D2H,33,0.061836,0.026048000901937485,0.04967979817581991,0.11793611385246461
3072,True,D2H,34,0.044275,0.023679999634623528,0.0693845285149633,0.12972973173142702
3072,True,D2H,35,0.04494,0.024224000051617622,0.06835781041388518,0.1268163801789151
3072,True,D2H,36,0.044128,0.02380800060927868,0.06961566352429296,0.1290322547624075
3072,True,D2H,37,0.051734,0.028192000463604927,0.05938067808404531,0.10896708106847064
3072,True,D2H,38,0.044723,0.024351999163627625,0.0686894886300114,0.1261498072235633
3072,True,D2H,39,0.043962,0.023584000766277313,0.06987853145898731,0.13025779766733397
3072,True,D2H,40,0.044716,0.02409599907696247,0.06870024152428661,0.12749004472435657
3072,True,D2H,41,0.044751,0.024639999493956566,0.0686465106924985,0.12467532723584135
3072,True,D2H,42,0.044585,0.024288000538945198,0.06890209711786476,0.12648221063212367
3072,True,D2H,43,0.049777,0.029664000496268272,0.0617152500150672,0.10355986881764168
3072,True,D2H,44,0.04434,0.024191999807953835,0.06928281461434371,0.12698412799217984
3072,True,D2H,45,0.045963,0.02454400062561035,0.0668363683832648,0.1251629694302783
3072,True,D2H,46,0.044585,0.02393599972128868,0.06890209711786476,0.1283422474837248
3072,True,D2H,47,0.045147,0.0244159996509552,0.0680443883314506,0.12581913679212464
3072,True,D2H,48,0.044555,0.02396799996495247,0.06894849062955898,0.12817089471345433
3072,True,D2H,49,0.043872,0.02364799939095974,0.0700218818380744,0.12990528074752816
98304,False,H2D,0,0.073872,0.04604800045490265,1.3307342430149447,2.1348158232467562
98304,False,H2D,1,0.06883,0.04771199822425842,1.4282144413773064,2.0603622497206344
98304,False,H2D,2,0.065619,0.045024000108242035,1.498102683673936,2.183368864687005
98304,False,H2D,3,0.065767,0.04476799815893173,1.4947314002463241,2.1958542718619913
98304,False,H2D,4,0.075009,0.05446400120854378,1.3105627324721034,1.8049353301016569
98304,False,H2D,5,0.06584,0.045024000108242035,1.4930741190765493,2.183368864687005
98304,False,H2D,6,0.067062,0.046879999339580536,1.465867406280755,2.096928357185416
98304,False,H2D,7,0.091126,0.070592001080513,1.078770054649606,1.3925657085125036
98304,False,H2D,8,0.070144,0.048767998814582825,1.4014598540145986,2.0157480804934056
98304,False,H2D,9,0.065397,0.04467200115323067,1.5031882196431028,2.200573009093654
98304,False,H2D,10,0.066127,0.045791998505592346,1.4865939782539659,2.1467505941675515
98304,False,H2D,11,0.066668,0.04646399989724159,1.4745305093898122,2.115702484017868
98304,False,H2D,12,0.064504,0.04438399896025658,1.5239985117202033,2.2148522508759476
98304,False,H2D,13,0.066266,0.046112000942230225,1.4834756888902303,2.1318528363832367
98304,False,H2D,14,0.064206,0.04419200122356415,1.5310718624427624,2.224474956512767
98304,False,H2D,15,0.064696,0.044319998472929,1.519475701743539,2.2180506179404507
98304,False,H2D,16,0.063982,0.04374400153756142,1.5364321215341814,2.247256687653274
98304,False,H2D,17,0.075016,0.04636799916625023,1.3104404393729339,2.1200828538565086
98304,False,H2D,18,0.066538,0.046431999653577805,1.4774114040097388,2.1171605947069136
98304,False,H2D,19,0.064265,0.04390399903059006,1.5296662257838638,2.2390671048326785
98304,False,H2D,20,0.072276,0.049695998430252075,1.3601195417565997,1.9781069523730135
98304,False,H2D,21,0.072842,0.04623999819159508,1.3495510831663051,2.125951640237487
98304,False,H2D,22,0.064748,0.04479999840259552,1.5182553901278804,2.1942857925259367
98304,False,H2D,23,0.069319,0.04934399947524071,1.4181393268800762,1.9922179200193513
98304,False,H2D,24,0.064402,0.04464000090956688,1.5264122232228812,2.2021504927642663
98304,False,H2D,25,0.064822,0.044576000422239304,1.5165221683996173,2.205312254774553
98304,False,H2D,26,0.064345,0.04403200000524521,1.527764395057891,2.2325581392689355
98304,False,H2D,27,0.065923,0.04531199857592583,1.491194272105335,2.1694915936069243
98304,False,H2D,28,0.06371,0.04371200129389763,1.5429916810547795,2.248901836798848
98304,False,H2D,29,0.072819,0.0517439991235733,1.3499773410785647,1.899814503421617
98304,False,H2D,30,0.068075,0.04700800031423569,1.444054351817848,2.0912185020180503
98304,False,H2D,31,0.063525,0.04323200136423111,1.5474852420306966,2.273871134759305
98304,False,H2D,32,0.090266,0.06278400123119354,1.0890479250216027,1.5657492047696817
98304,False,H2D,33,0.068106,0.047807998955249786,1.443397057527971,2.056224944533163
98304,False,H2D,34,0.0646,0.04428799822926521,1.5217337461300309,2.2196532679375283
98304,False,H2D,35,0.068072,0.046879999339580536,1.4441179927135974,2.096928357185416
98304,False,H2D,36,0.065617,0.044863998889923096,1.4981483457030953,2.191155546370167
98304,False,H2D,37,0.064807,0.045024000108242035,1.516873177280232,2.183368864687005
98304,False,H2D,38,0.063174,0.04320000112056732,1.5560831987843102,2.2755554965297886
98304,False,H2D,39,0.064568,0.04428799822926521,1.5224879197125512,2.2196532679375283
98304,False,H2D,40,0.070369,0.045152001082897186,1.3969787832710427,2.177179253241024
98304,False,H2D,41,0.063625,0.04358400031924248,1.5450530451866404,2.255506591408464
98304,False,H2D,42,0.074318,0.0541439987719059,1.3227481902096396,1.8156028780609335
98304,False,H2D,43,0.065188,0.04467200115323067,1.508007608762349,2.200573009093654
98304,False,H2D,44,0.065184,0.04473600164055824,1.5081001472754048,2.197424812119917
98304,False,H2D,45,0.08689,0.06672000139951706,1.1313614915410288,1.47338126405842
98304,False,H2D,46,0.067519,0.04569600149989128,1.4559457337934507,2.1512604335903194
98304,False,H2D,47,0.066755,0.046592000871896744,1.4726087933488128,2.1098900704068018
98304,False,H2D,48,0.065274,0.04508800059556961,1.5060207739681957,2.1802696660197314
98304,False,H2D,49,0.066076,0.04556800052523613,1.4877413887039168,2.1573033459205218
98304,False,D2H,0,1.724058,0.10198400169610977,0.05701896339914318,0.9639158923467684
98304,False,D2H,1,0.123629,0.09596800059080124,0.7951532407444856,1.0243414408429665
98304,False,D2H,2,0.125635,0.09955199807882309,0.7824571178413658,0.9874638570505139
98304,False,D2H,3,0.09849,0.07574400305747986,0.9981114833993299,1.297845321502219
98304,False,D2H,4,0.092667,0.07036799937486649,1.0608307164362718,1.396998648154142
98304,False,D2H,5,0.119901,0.0963520035147667,0.8198763980283734,1.0202590129320368
98304,False,D2H,6,0.099377,0.0753600001335144,0.9892027330267567,1.304458596415021
98304,False,D2H,7,0.102253,0.07740800082683563,0.9613801062071529,1.2699462452196568
98304,False,D2H,8,0.093221,0.06937599927186966,1.0545263406314027,1.4169741846134383
98304,False,D2H,9,0.107799,0.08313599973917007,0.9119194055603485,1.1824480406613
98304,False,D2H,10,0.094906,0.07081600278615952,1.035803848018039,1.388160812985237
98304,False,D2H,11,0.089001,0.0676800012588501,1.1045269154279165,1.4524822424873314
98304,False,D2H,12,0.088886,0.06598400324583054,1.105955943568166,1.489815639614314
98304,False,D2H,13,0.084313,0.06278400123119354,1.1659411953079597,1.5657492047696817
98304,False,D2H,14,0.114066,0.07369600236415863,0.8618168428804377,1.333912245527842
98304,False,D2H,15,0.088931,0.06534399837255478,1.1053963184941134,1.5044074811511503
98304,False,D2H,16,0.087949,0.06716799736022949,1.1177386894677597,1.463554130887432
98304,False,D2H,17,0.091262,0.0689919963479042,1.0771624553483377,1.4248609288573835
98304,False,D2H,18,0.087077,0.06534399837255478,1.1289318649011795,1.5044074811511503
98304,False,D2H,19,0.087615,0.06473600119352341,1.121999657592878,1.5185367984983746
98304,False,D2H,20,0.089239,0.06684800237417221,1.1015811472562445,1.4705600243632906
98304,False,D2H,21,0.104697,0.08294399827718735,0.93893807845497,1.1851852098024218
98304,False,D2H,22,0.092124,0.06828799843788147,1.0670834961573532,1.4395501735114222
98304,False,D2H,23,0.106396,0.0830719992518425,0.9239445091920749,1.1833590245249774
98304,False,D2H,24,0.09169,0.06950400024652481,1.0721343657977969,1.414364635867346
98304,False,D2H,25,0.095108,0.07225599884986877,1.0336039029314044,1.3604960358274603
98304,False,D2H,26,0.088713,0.06531199812889099,1.1081126779615162,1.505144580112224
98304,False,D2H,27,0.073978,0.0578560009598732,1.3288274892535619,1.6991150160582313
98304,False,D2H,28,0.065085,0.04966399818658829,1.5103941000230465,1.9793815155733252
98304,False,D2H,29,0.06368,0.048128001391887665,1.543718592964824,2.0425531324176256
98304,False,D2H,30,0.063147,0.04800000041723251,1.556748539122999,2.0479999821980797
98304,False,D2H,31,0.062239,0.04694399982690811,1.5794598242259676,2.0940695373736036
98304,False,D2H,32,0.075646,0.05734400078654289,1.2995267429870714,1.7142856907721955
98304,False,D2H,33,0.063811,0.04851200059056282,1.540549435050383,2.026385199606123
98304,False,D2H,34,0.063221,0.047968000173568726,1.554926369402572,2.0493662367472925
98304,False,D2H,35,0.133384,0.1162559986114502,0.7369999400227913,0.8455821736007859
98304,False,D2H,36,0.093301,0.070592001080513,1.0536221476725867,1.3925657085125036
98304,False,D2H,37,0.118592,0.09564799815416336,0.8289260658391797,1.0277685042770655
98304,False,D2H,38,0.094684,0.07187200337648392,1.0382324363144777,1.3677648511487641
98304,False,D2H,39,0.089805,0.06758400052785873,1.094638383163521,1.4545454431848586
98304,False,D2H,40,0.074012,0.056992001831531525,1.328217045884451,1.7248736110478595
98304,False,D2H,41,0.065026,0.04966399818658829,1.511764524959247,1.9793815155733252
98304,False,D2H,42,0.071119,0.055615998804569244,1.3822466570114877,1.76754894478176
98304,False,D2H,43,0.064236,0.048928000032901764,1.5303568092658322,2.0091563099635223
98304,False,D2H,44,0.063642,0.04835199937224388,1.544640331856321,2.0330906948272074
98304,False,D2H,45,0.116284,0.10054399818181992,0.8453785559492277,0.9777212143705566
98304,False,D2H,46,0.073502,0.05718399956822395,1.3374329950205437,1.719082273752423
98304,False,D2H,47,0.066654,0.0504320003092289,1.4748402196417318,1.9492385667282501
98304,False,D2H,48,0.066286,0.050592001527547836,1.4830280903961621,1.9430739451269292
98304,False,D2H,49,0.064148,0.04867200180888176,1.5324561950489493,2.0197237908152217
98304,True,H2D,0,0.038498,0.018079999834299088,2.5534832978336537,5.437168191423879
98304,True,H2D,1,0.034369,0.018079999834299088,2.860251971253164,5.437168191423879
98304,True,H2D,2,0.068548,0.017696000635623932,1.4340899807434206,5.555153507516472
98304,True,H2D,3,0.067167,0.03718400001525879,1.4635758631470812,2.643717726970204
98304,True,H2D,4,0.053962,0.0315839983522892,1.821726400059301,3.112462168453569
98304,True,H2D,5,0.053919,0.03094400092959404,1.823179213264341,3.176835478504158
98304,True,H2D,6,0.052853,0.030432000756263733,1.8599511853631772,3.2302838313963425
98304,True,H2D,7,0.055309,0.03219199925661087,1.7773599233397819,3.0536780029221866
