case_id,workload_id,kind,batch_size,sequence_length,new_tokens,gpu_layers,layout,block,trial,prefill_ms,prefill_input_tokens_per_s,ttft_ms,generation_ms,decode_ms,decode_tpot_ms,decode_generated_tokens_per_s,generation_generated_tokens_per_s,final_kv_cpu_bytes,final_kv_gpu_bytes,final_cached_positions,decode_step_ms_json
B1_S256_N32_G0,B1_S256_N32,primary,1,256,32,0,prefix,0,3,510.894147,501.0822721365019,539.107471,2065.692735,1526.585264,49.24468593548387,20.30675962295939,15.49117129465046,21159936,0,287,"[52.099358, 48.034942, 47.438454, 47.560498, 47.555019, 47.240429, 46.540168, 46.739752, 47.26594, 47.737379, 50.270799, 47.519458, 48.210604, 67.630389, 55.038385, 48.70981, 47.614959, 48.372, 52.822586, 48.351186, 47.837815, 48.656873, 47.902832, 48.286214, 47.675086, 48.996477, 47.9025, 48.192151, 48.075676, 49.027078, 51.276398]"
B1_S256_N32_G0,B1_S256_N32,primary,1,256,32,0,prefix,0,4,566.944397,451.5433988846705,568.766509,2196.624502,1627.857993,52.51154816129033,19.043430159942705,14.567806182105492,21159936,0,287,"[52.911626, 57.063033, 65.752167, 49.158301, 71.006669, 83.931855, 48.852588, 49.142312, 49.625336, 53.953482, 51.897863, 50.462585, 50.986867, 48.416568, 48.474, 48.58146, 48.635005, 50.29898, 50.408868, 49.20665, 49.305485, 73.110973, 46.713017, 49.064899, 47.551011, 46.681209, 47.82624, 46.585966, 47.465486, 47.009997, 47.773701]"
B1_S256_N32_G0,B1_S256_N32,primary,1,256,32,0,prefix,1,0,527.012472,485.7570050068948,708.992075,3918.27339,3209.281315,103.5252037096774,9.659483528323848,8.166862496544685,21159936,0,287,"[106.240315, 177.725862, 273.249152, 125.614983, 97.633989, 91.487092, 102.420531, 354.051064, 176.167422, 92.441042, 98.402457, 108.544246, 80.94353, 166.080471, 89.153617, 93.23134, 125.77798, 194.58423, 48.672952, 48.356984, 47.940398, 48.684102, 72.621823, 49.712229, 47.765541, 48.974069, 48.121235, 49.034018, 48.643004, 48.629207, 48.371835]"
B1_S256_N32_G0,B1_S256_N32,primary,1,256,32,0,prefix,1,1,530.716874,482.3664227416293,546.629936,2092.062025,1545.432089,49.85264803225807,20.05911500133216,15.295913609444728,21159936,0,287,"[55.771257, 49.122733, 49.10445, 47.649984, 51.412591, 48.241017, 48.410971, 47.82079, 47.317978, 47.621599, 47.723592, 74.604181, 48.389794, 47.75996, 48.449878, 47.868545, 48.324174, 48.421476, 48.677164, 48.430024, 51.044117, 49.91079, 48.863111, 48.473931, 52.031606, 48.958407, 49.566214, 48.498383, 49.574068, 48.724481, 48.661108]"
B1_S256_N32_G0,B1_S256_N32,primary,1,256,32,0,prefix,1,2,565.700212,452.5365106280003,538.655302,2126.795646,1588.140344,51.23033367741935,19.519685471827547,15.046109418262368,21159936,0,287,"[77.864654, 48.424488, 48.794467, 47.726001, 47.427438, 65.541751, 49.300747, 51.624696, 48.503165, 48.680839, 48.969138, 52.205522, 48.597543, 48.462538, 47.944191, 48.592545, 47.640539, 49.798334, 48.222795, 48.094221, 64.432092, 57.049532, 48.332626, 48.125163, 48.72555, 48.119678, 49.79904, 52.856639, 49.469897, 49.474096, 49.336015]"
B1_S256_N32_G0,B1_S256_N32,primary,1,256,32,0,prefix,1,3,536.537386,477.133572943601,535.59462,2094.807337,1559.2127170000003,50.29718441935485,19.881828606199083,15.275867825547907,21159936,0,287,"[51.957225, 48.189578, 48.69393, 47.694306, 47.774814, 50.478489, 47.703974, 48.111649, 48.792494, 50.58782, 72.966815, 48.574098, 48.38464, 48.443126, 53.303152, 48.600442, 48.431513, 48.815921, 51.304976, 47.939499, 48.487874, 48.386687, 48.771554, 50.234266, 50.601017, 51.474539, 48.605027, 47.970765, 48.429206, 47.940069, 61.558767]"
B1_S256_N32_G0,B1_S256_N32,primary,1,256,32,0,prefix,1,4,546.192976,468.6988138785585,537.821872,3911.219492,3373.39762,108.81927806451614,9.189548192068742,8.181591461551244,21159936,0,287,"[51.30805, 52.807442, 62.79928, 59.896139, 49.245505, 81.868743, 90.468168, 89.005359, 88.135251, 82.708699, 104.009787, 207.651715, 147.083561, 233.893776, 101.052278, 436.544888, 94.031413, 111.023477, 76.973741, 98.121263, 105.957592, 88.075519, 185.077516, 134.525946, 103.466098, 147.895671, 55.322391, 71.078326, 49.624875, 49.334416, 64.406779]"
B1_S256_N32_G3,B1_S256_N32,primary,1,256,32,3,prefix,0,0,431.600343,593.1413265813832,442.799251,1419.175479,976.376228,31.49600735483871,31.75005608596198,22.548303908511937,15869952,5289984,287,"[30.179348, 32.534191, 34.31717, 30.038937, 29.768465, 29.465729, 29.753586, 30.170407, 29.466926, 29.270371, 29.104884, 30.240879, 30.133241, 44.830164, 40.756043, 29.657397, 35.101718, 29.685081, 29.511963, 30.705057, 30.681532, 32.567029, 30.226251, 35.466776, 29.774836, 30.147222, 30.818323, 30.802259, 30.295099, 30.399434, 30.477897]"
B1_S256_N32_G3,B1_S256_N32,primary,1,256,32,3,prefix,0,1,378.39821,676.5359698715276,423.677809,1398.672386,974.994577,31.45143796774193,31.79504864056285,22.87883876188859,15869952,5289984,287,"[29.760087, 32.336214, 33.658083, 30.161788, 29.234854, 29.921113, 29.394363, 29.966909, 29.444973, 29.420883, 29.314233, 29.500869, 29.791706, 31.647804, 30.181172, 30.944437, 30.290333, 29.635796, 30.346052, 30.057167, 30.118446, 30.22325, 30.150861, 30.206528, 57.245129, 34.826862, 30.21564, 31.763453, 31.041142, 29.978527, 34.186449]"
B1_S256_N32_G3,B1_S256_N32,primary,1,256,32,3,prefix,0,2,379.773986,674.0851386276889,387.051409,1361.794851,974.7434420000002,31.443336838709683,31.80324038538132,23.49839990693282,15869952,5289984,287,"[36.695838, 43.509944, 46.74106, 30.276652, 29.631795, 32.456057, 33.25419, 30.306198, 30.131944, 30.605275, 29.587355, 29.331552, 30.544674, 31.250522, 30.443331, 30.451744, 29.611491, 29.311418, 29.677204, 29.992497, 29.635802, 29.746304, 30.020177, 30.368455, 29.817903, 29.630286, 30.212122, 30.454484, 30.740958, 29.948878, 30.329598]"
B1_S256_N32_G3,B1_S256_N32,primary,1,256,32,3,prefix,0,3,457.715354,559.2995685261631,753.101797,3217.224365,2464.122568,79.48782477419354,12.580543030844886,9.9464620335859,15869952,5289984,287,"[342.681318, 86.034979, 371.753684, 151.23037, 61.973068, 73.989952, 77.962384, 43.915948, 55.946209, 73.689991, 54.317573, 74.17565, 147.342332, 63.065779, 60.450679, 66.858532, 58.383126, 74.24672, 54.759561, 64.77911, 68.866641, 65.272436, 30.35567, 30.259013, 30.237405, 29.715651, 30.421051, 30.239782, 30.151105, 30.583673, 30.436555]"
B1_S256_N32_G3,B1_S256_N32,primary,1,256,32,3,prefix,0,4,386.141469,662.9694569271968,427.613394,1375.427249,947.813855,30.57464048387097,32.70684410917373,23.26549806488529,15869952,5289984,287,"[30.027735, 31.503085, 33.945362, 30.459058, 29.937859, 29.82565, 29.750823, 29.972636, 29.367605, 29.256897, 29.883498, 30.81228, 29.604865, 29.872354, 30.136287, 30.872406, 30.197887, 29.693404, 32.267435, 29.259795, 33.253151, 30.643224, 29.816798, 29.443761, 34.033049, 31.229176, 30.705709, 30.362186, 31.100467, 30.227112, 30.324885]"
B1_S256_N32_G3,B1_S256_N32,primary,1,256,32,3,prefix,1,0,387.590003,660.491751640973,367.745751,2596.63256,2228.886809,71.89957448387096,13.908288153003287,12.323653524547964,15869952,5289984,287,"[30.317346, 32.522148, 29.925467, 29.715857, 30.294427, 30.159207, 30.119163, 30.090506, 29.627964, 35.381483, 45.467701, 39.736606, 30.2302, 30.175177, 29.832465, 30.760547, 29.930685, 40.42112, 58.772645, 62.678231, 64.868979, 57.570962, 56.438883, 126.498587, 238.787817, 276.501626, 150.932184, 358.092755, 82.509738, 54.647102, 55.8492]"
B1_S256_N32_G3,B1_S256_N32,primary,1,256,32,3,prefix,1,1,757.973811,337.7425397617069,538.424511,1487.980513,949.556002,30.630838774193546,32.64683697928962,21.5056579843798,15869952,5289984,287,"[41.099568, 30.710853, 30.047355, 29.554561, 29.819482, 30.18847, 29.575727, 29.419422, 29.678296, 29.430776, 29.49915, 30.403528, 30.01992, 29.499109, 30.753215, 33.827539, 29.75749, 31.771602, 29.823942, 29.045944, 29.381299, 30.032361, 29.998509, 29.991323, 32.75361, 32.128383, 30.252409, 30.675749, 30.381492, 29.881196, 30.125877]"
B1_S256_N32_G3,B1_S256_N32,primary,1,256,32,3,prefix,1,2,377.925901,677.3814637277269,354.296789,1324.800601,970.503812,31.30657458064516,31.942172319875446,24.154578414174495,15869952,5289984,287,"[30.246675, 29.732845, 32.845257, 32.287884, 29.844414, 30.109388, 30.093098, 29.825642, 30.480597, 30.201581, 29.943346, 29.331823, 41.77382, 44.279202, 30.087728, 29.987298, 29.568757, 29.702926, 29.771972, 29.563202, 30.400338, 30.422975, 30.277892, 29.914665, 31.146123, 35.487842, 31.219089, 32.333591, 29.950622, 29.533607, 30.112073]"
B1_S256_N32_G3,B1_S256_N32,primary,1,256,32,3,prefix,1,3,359.757481,711.5904839238076,373.845748,1369.942715,996.096967,32.13216022580645,31.12146811706937,23.358640948720254,15869952,5289984,287,"[31.578476, 30.624289, 30.181186, 33.745674, 29.856599, 32.524269, 29.583306, 29.412032, 30.359302, 55.533706, 31.032968, 33.540834, 30.190266, 30.034095, 30.165049, 30.093791, 30.616894, 29.959342, 30.400656, 30.422533, 30.946044, 30.046039, 29.881748, 29.452821, 48.918603, 36.013365, 30.236271, 29.701064, 30.077241, 30.059537, 30.882996]"
