case_id,workload_id,kind,batch_size,sequence_length,new_tokens,gpu_layers,layout,block,trial,prefill_ms,prefill_input_tokens_per_s,ttft_ms,generation_ms,decode_ms,decode_tpot_ms,decode_generated_tokens_per_s,generation_generated_tokens_per_s,final_kv_cpu_bytes,final_kv_gpu_bytes,final_cached_positions,decode_step_ms_json,cpu_threads
B3_S256_N32_G0,B3_S256_N32,primary,3,256,32,0,prefix,0,3,1768.925498,434.1618688115038,1726.11388,3846.275374,2120.161494,68.39230625806451,43.86458308161312,24.95921135780852,63479808,0,287,"[96.225184, 65.214286, 65.806556, 64.347013, 63.237786, 63.145406, 63.944796, 63.241485, 65.474072, 65.867025, 65.337964, 65.432127, 63.363429, 67.209442, 66.20314, 69.37388, 85.889221, 64.283499, 63.140289, 63.983346, 63.220759, 68.158794, 65.735076, 67.928317, 68.159234, 66.962864, 66.031386, 97.312784, 69.034174, 65.186538, 71.706447]",2
B3_S256_N32_G0,B3_S256_N32,primary,3,256,32,0,prefix,0,4,1743.278756,440.5491648175629,2281.139495,5545.5737,3264.434205,105.30432919354838,28.488857229089103,17.311103448142795,63479808,0,287,"[197.974012, 471.399169, 118.217616, 130.167286, 144.157251, 298.281157, 109.215287, 114.705075, 125.44267, 119.132498, 121.332702, 64.574135, 63.852473, 63.264939, 63.314972, 63.240765, 78.254487, 73.700684, 63.295702, 67.312137, 64.121047, 63.362695, 63.26086, 66.046261, 69.436977, 64.431852, 63.934949, 64.657495, 63.713707, 64.621477, 66.006226]",2
B3_S256_N32_G0,B3_S256_N32,primary,3,256,32,0,prefix,3,0,1565.446597,490.59482544584046,1538.680636,3554.026863,2015.346227,65.01116861290322,46.145917140221485,27.01161350225844,63479808,0,287,"[67.676664, 68.604539, 70.132599, 62.951172, 59.982061, 86.674813, 61.157747, 64.079397, 62.713911, 61.885501, 61.492777, 64.769675, 61.430448, 62.276098, 61.270953, 60.536729, 61.229385, 63.814819, 62.365563, 63.540081, 62.66155, 87.155664, 65.090984, 67.364774, 63.520257, 63.217931, 62.862099, 65.121637, 63.426463, 62.863204, 63.47246]",2
B3_S256_N32_G0,B3_S256_N32,primary,3,256,32,0,prefix,3,1,1607.807722,477.6690579919979,1623.749458,5513.963908,3890.21445,125.4907887096774,23.90613710254457,17.41034246900261,63479808,0,287,"[69.732033, 66.394394, 73.373736, 66.672911, 65.458268, 92.976911, 64.159103, 67.282249, 63.515092, 63.39215, 86.377314, 123.844355, 125.70877, 131.014023, 129.108304, 313.832247, 472.250295, 292.178103, 121.687744, 146.055963, 187.247937, 148.359185, 113.383541, 118.266771, 121.156562, 133.945764, 114.218459, 129.152421, 63.423257, 63.507362, 62.534811]",2
B3_S256_N32_G0,B3_S256_N32,primary,3,256,32,0,prefix,3,2,1533.294233,500.8823378258933,1649.534558,3696.946525,2047.411967,66.04554732258063,45.4231984080222,25.96737587379628,63479808,0,287,"[68.959819, 65.871031, 73.921029, 63.089239, 61.900793, 63.064428, 62.194485, 65.183265, 66.608788, 67.706781, 66.099472, 94.420768, 68.387053, 63.18037, 61.661585, 62.001751, 62.135898, 65.430942, 61.574031, 61.468332, 62.071069, 61.66027, 64.652194, 62.539575, 62.405458, 63.360446, 63.874144, 91.407243, 64.455876, 63.110352, 63.010975]",2
B3_S256_N32_G0,B3_S256_N32,primary,3,256,32,0,prefix,3,3,1563.975342,491.0563353370312,1535.503401,4732.915136,3197.411735,103.14231403225806,29.08602573199726,20.28348221792414,63479808,0,287,"[70.888473, 65.178445, 68.802236, 62.236015, 62.283793, 64.942034, 63.739394, 62.94436, 62.052106, 62.998854, 61.865623, 66.380303, 61.028435, 88.399497, 62.275421, 65.955808, 61.46299, 61.975156, 61.529138, 63.653362, 66.466138, 63.644651, 106.371962, 125.75206, 120.110011, 141.189736, 158.636633, 229.092094, 356.251009, 415.157069, 114.144236]",2
B3_S256_N32_G0,B3_S256_N32,primary,3,256,32,0,prefix,3,4,2078.155597,369.55846862894936,1554.23227,3576.912667,2022.680397,65.24775474193548,45.97859362158045,26.838787786372308,63479808,0,287,"[67.379225, 64.788323, 72.071378, 60.974928, 60.361245, 88.689882, 62.297637, 63.180136, 63.334403, 63.641507, 61.436336, 60.933839, 60.330385, 61.471484, 67.273237, 60.77967, 88.958577, 64.529619, 61.190941, 61.247147, 61.721358, 86.555794, 63.179443, 63.324333, 60.517974, 61.361003, 60.960415, 61.099982, 62.236326, 65.364737, 61.484583]",2
B3_S256_N32_G3,B3_S256_N32,primary,3,256,32,3,prefix,0,0,1304.176129,588.8775165581949,2353.175833,4244.987684,1891.811851,61.026188741935485,49.15922265252794,22.614906601929263,47609856,15869952,287,"[157.584326, 112.869371, 80.9185, 85.051605, 114.166392, 84.572727, 73.909465, 87.719119, 77.702732, 41.978009, 42.213009, 42.348532, 45.994781, 42.346269, 43.806225, 41.894126, 60.59526, 53.048984, 41.768218, 42.540782, 46.078922, 45.410304, 69.981085, 47.422325, 43.019748, 43.833824, 44.060833, 44.270607, 42.438115, 42.483481, 49.756232]",2
B3_S256_N32_G3,B3_S256_N32,primary,3,256,32,3,prefix,0,1,1185.228163,647.9765027318205,1183.078523,2549.770083,1366.69156,44.08682451612904,68.04754102674052,37.65045352130285,47609856,15869952,287,"[45.487786, 42.548204, 43.558341, 42.128295, 41.914325, 43.4171, 43.160872, 42.808653, 46.337776, 67.514181, 42.71072, 41.461319, 44.808308, 44.283473, 43.856857, 44.026828, 43.477693, 45.750287, 44.808287, 43.24109, 42.661173, 41.808513, 42.709567, 42.192954, 42.628849, 42.770414, 42.065366, 42.20304, 43.05109, 44.161285, 43.110113]",2
B3_S256_N32_G3,B3_S256_N32,primary,3,256,32,3,prefix,0,2,1240.27867,619.2156799729532,1185.511924,2570.31028,1384.7983560000002,44.67091470967743,67.15779203308065,37.34957633208392,47609856,15869952,287,"[45.771159, 45.254503, 44.628216, 42.682147, 43.035661, 43.336658, 44.292284, 41.778561, 41.891564, 41.746145, 41.339595, 42.933711, 42.509751, 42.986176, 43.862506, 44.906118, 44.601346, 45.475737, 49.328246, 64.312184, 45.261024, 45.396486, 47.898575, 46.39416, 43.138455, 42.995962, 42.759628, 43.782386, 44.525224, 42.913585, 43.029086]",2
