case_id,block,cpu_threads,gpu_peak_mib,prefill_ms_median,ttft_ms_median,decode_tpot_ms_median,generation_ms_median,generation_iqr_over_median,generation_max_over_median,slow_trials_over_1_5x_median
B3_S256_N32_G12,2,1,619.23974609375,46.360592,83.609295,8.91017541935484,358.222163,0.01806826508386633,1.0666409297517419,0
B1_S128_N32_G0,1,1,0.0,322.659135,300.541697,50.638094483870965,1878.575546,0.03428151619301456,1.112654085937942,0
B1_S128_N32_G0,2,1,0.0,294.852839,277.091635,51.55822812903226,1875.396707,0.07363098937125305,1.1461490467467266,0
B1_S128_N32_G6,1,1,342.1103515625,183.381844,151.187782,25.701162548387096,941.42264,0.16451702287508188,1.1523554872230393,0
B1_S128_N32_G6,2,1,342.6103515625,142.758543,140.897417,22.847910096774196,848.055424,0.0072875873735347325,1.028836939553611,0
B1_S128_N32_G12,1,1,519.88916015625,10.004779,9.867808,8.110449677419355,261.413223,0.006559882397379867,1.0804206794084017,0
B1_S128_N32_G12,2,1,519.88916015625,8.864819,8.844983,7.974129258064516,255.91152,0.04463703314333021,1.0517521954463012,0
B3_S64_N32_G0,0,2,0.0,450.663568,430.186879,57.07935090322581,2201.957159,0.00674405536879019,1.8444879549084814,1
B3_S64_N32_G0,3,2,0.0,401.994879,437.140672,54.09184222580645,2107.304411,0.296152569482758,1.886198052949456,1
B3_S64_N32_G3,0,2,258.93408203125,313.91265,303.897368,36.384617387096775,1430.099606,0.04383975405416619,1.0342461495650535,0
B3_S64_N32_G3,3,2,258.93408203125,292.795149,287.529015,34.47439358064516,1354.382239,0.022150009160006447,1.0190121889216535,0
B3_S64_N32_G6,0,2,350.07763671875,206.455323,201.581414,27.49204722580645,1050.113274,0.0669213310030018,2.7729612891266053,1
B3_S64_N32_G6,3,2,350.07763671875,198.367667,197.299582,26.19482583870968,1009.339183,0.029928013802274087,2.751108238705918,1
B3_S64_N32_G9,0,2,444.15869140625,128.241641,115.642524,18.76354451612903,699.728449,0.036849769416764204,3.2978712446204974,1
B3_S64_N32_G9,3,2,444.15869140625,109.302472,107.551788,18.303102129032258,675.376858,0.033824010594096995,1.0078771073319779,0
B3_S64_N32_G12,0,2,538.23974609375,11.250538,11.368497,8.804754225806452,284.10813,0.06679245680157068,1.154416728588513,0
B3_S64_N32_G12,3,2,538.23974609375,11.498331,11.723298,8.714313774193549,281.867025,0.0024096539848887082,1.0073260254547334,0
B3_S256_N32_G0,0,2,0.0,1768.925498,2281.139495,97.27117670967742,5545.5737,0.3144668907745289,1.0262210447225686,0
B3_S256_N32_G0,3,2,0.0,1565.446597,1554.23227,66.04554732258063,3696.946525,0.31269115232874506,1.4914913890998194,0
B3_S256_N32_G3,0,2,301.1259765625,1229.359746,1299.294923,44.67091470967743,2671.912674,0.6267710095079251,1.624253077666265,2
B3_S256_N32_G3,3,2,301.1259765625,1183.390986,1181.905098,45.73793922580645,2590.89349,0.6451174961267899,1.6475461633121786,2
B3_S256_N32_G6,0,2,398.740234375,876.468894,910.975204,33.31832612903226,1931.347989,0.8276539531478498,1.829231991397486,2
B3_S256_N32_G6,3,2,398.740234375,755.727012,738.48912,33.27609264516129,1782.593069,0.031411573944586005,1.9929090849617792,1
B3_S256_N32_G9,0,2,504.90869140625,451.635279,434.862527,21.95687558064516,1120.930262,0.015765495498773575,1.0232644954677832,0
B3_S256_N32_G9,3,2,505.81884765625,400.620584,422.462887,21.479483612903223,1093.60074,0.19830805985006916,1.8842665761180812,1
B3_S256_N32_G12,0,2,619.23974609375,42.668184,62.283911,8.874525903225805,336.437063,0.0028935248433076834,1.0497242600170957,0
B3_S256_N32_G12,3,2,619.23974609375,45.5692,77.70235,8.708294129032257,344.148712,0.016613916602424977,1.0530939659596925,0
B1_S128_N32_G0,0,2,0.0,270.970395,272.440871,50.64553977419355,1846.721755,0.035528545013539435,1.9958790917043157,1
B1_S128_N32_G0,3,2,0.0,263.07224,267.55462,51.375827,1867.889544,0.040193133604264054,1.0823017728718547,0
B1_S128_N32_G6,0,2,342.1103515625,162.459084,140.327387,24.02474522580645,878.902124,0.6269055073986829,2.3468453229042376,2
B1_S128_N32_G6,3,2,342.1103515625,160.593403,141.11598,23.16794080645161,861.626984,0.018684052726927986,1.062845010666472,0
B1_S128_N32_G12,0,2,519.88916015625,12.237374,11.833358,9.474633225806452,306.758241,0.3545532522466119,1.3325577453679558,0
B1_S128_N32_G12,3,2,519.88916015625,9.303622,8.942041,8.323513838709678,266.643167,0.03700115443048276,1.0792490062196118,0
