case_index,batch_size,sequence_length,new_tokens,gpu_layers,layout,prefill_ms_median,prefill_input_tokens_per_s_median,ttft_ms_median,generation_ms_median,decode_ms_median,decode_tpot_ms_median,decode_generated_tokens_per_s_median,generation_generated_tokens_per_s_median,repeats,generation_p95_over_median,pooled_generation_tokens_per_s,workload_group,gpu_peak_allocated_bytes,gpu_parameter_bytes,gpu_buffer_bytes,cpu_parameter_bytes,final_kv_gpu_bytes,final_cached_positions
22,2,128,32,3,prefix,410.8870185,623.1638567300829,402.1415645,1532.3844515,1104.3393885,35.62385124193548,56.142193379166095,41.76530981399782,10,1.723503384653076,37.25134380452531,B2_S128_N32,276427776,242595840,3145728,255163392,5861376,159
26,2,128,32,6,prefix,275.0525335,930.7361267721076,279.7256025,1121.069234,842.3119865,27.171354403225806,73.60904293002028,57.09010715700105,10,1.9768759736564119,48.58312578465748,B2_S128_N32,369346560,327650304,6291456,170108928,11722752,159
29,2,128,32,9,prefix,159.156833,1608.4799976682962,159.7262525,769.383394,609.8174405,19.671530338709672,101.66986962444446,83.18415681399266,10,2.199293789475783,67.31142837411683,B2_S128_N32,469034496,412704768,9437184,85054464,17584128,159
28,2,128,32,12,prefix,13.583848,18846.034173214277,14.454046,302.34771850000004,287.795068,9.283711870967743,215.43115894455462,211.67699102528746,10,1.0788339796914985,207.26987518978254,B2_S128_N32,570493440,497759232,12582912,0,23445504,159
42,2,512,32,0,prefix,2752.6041095,372.0113611645143,2773.2744115,5157.239482999999,2387.6876254999997,77.02218146774192,25.96855645135954,12.409792201386256,10,1.3516585603845228,10.982931748838931,B2_S512_N32,0,0,0,497759232,0,543
15,2,512,32,3,prefix,2024.1349500000001,505.89581557837306,2166.8508455,4480.2067065,2247.1276995,72.48799030645161,30.615936884518227,14.826471201160249,10,1.2322092557896132,14.20480959508588,B2_S512_N32,341707776,242595840,3145728,255163392,20017152,543
17,2,512,32,6,prefix,1207.0484740000002,848.3506667043206,1205.6164245,2361.4388085,1110.6136899999997,35.82624806451613,55.82508018807139,27.102176816630816,10,1.7712660972387841,22.24261683595238,B2_S512_N32,448782336,327650304,6291456,170108928,40034304,543
6,2,512,32,9,prefix,656.4328479999999,1559.9482525505007,651.7838200000001,1356.301369,711.6176230000001,22.95540719354839,87.12554722347458,47.18727343405942,10,1.6322580610032544,41.02068936037865,B2_S512_N32,555856896,412704768,9437184,85054464,60051456,543
8,2,512,32,12,prefix,74.1433445,13811.095578045406,97.643294,380.9319875,282.5458615,9.11438262903226,219.4595626725067,168.0517822207665,10,1.2328472858950972,161.8373932100757,B2_S512_N32,687073792,497759232,12582912,0,80068608,543
39,4,32,32,0,prefix,314.2820155,407.28723228390913,315.2875825,3343.6640915,2997.7166035,96.70053559677419,41.36634283190174,38.28991100359154,10,1.5972348935637695,31.2005177384663,B4_S32_N32,0,0,0,497759232,0,63
12,4,32,32,3,prefix,214.44498099999998,596.9195588327209,233.612211,1940.5204455,1700.8013919999999,54.86456103225807,72.90681387577796,65.96196248038345,10,1.9801801798382546,55.357092452764824,B4_S32_N32,268169216,242595840,3145728,255163392,4644864,63
